state,year,senate_total,senate_dem,senate_rep,senate_other,house_total,house_dem,house_rep,house_other
Iowa,2020,50,18,32,0,100,47,53,0
Kansas,2020,40,11,28,1,125,41,84,0
Kentucky,2020,38,9,29,0,100,38,62,0
Louisiana,2020,39,12,27,0,105,35,68,2
Maine,2020,35,21,14,0,151,88,57,5
Maryland,2020,47,32,15,0,141,98,42,0
Massachusetts,2020,40,34,4,0,160,126,31,1
Michigan,2020,38,16,22,0,110,52,58,0
Minnesota,2020,67,32,35,0,134,75,59,0
Mississippi,2020,52,16,36,0,122,46,74,1
Missouri,2020,34,8,23,0,163,48,114,0
Montana,2020,50,20,30,0,100,42,57,0
Nebraska,2020,49,0,0,49,0,0,0,0
Nevada,2020,21,13,8,0,42,28,13,0
New Hampshire,2020,24,14,10,0,400,234,162,1
New Jersey,2020,40,25,15,0,80,52,28,0
New Mexico,2020,42,26,16,0,70,46,24,0
New York,2020,63,40,22,0,150,104,42,1
North Carolina,2020,50,21,29,0,120,55,65,0
North Dakota,2020,47,10,37,0,94,15,78,0
Ohio,2020,33,9,24,0,99,38,61,0
Oklahoma,2020,48,9,38,0,101,23,77,0
Oregon,2020,30,18,12,0,60,37,22,0
Pennsylvania,2020,50,21,28,1,203,93,110,0
Rhode Island,2020,38,33,5,0,75,66,9,0
South Carolina,2020,46,19,27,0,124,44,80,0
South Dakota,2020,35,5,30,0,70,11,59,0
Tennessee,2020,33,5,28,0,99,26,73,0
Texas,2020,31,12,19,0,150,66,84,0
Utah,2020,29,6,23,0,75,16,59,0
Vermont,2020,30,22,6,2,150,94,43,12
Virginia,2020,40,21,19,0,100,55,45,0
Washington,2020,49,29,20,0,98,57,41,0
West Virginia,2020,34,14,20,0,100,41,58,1
Wisconsin,2020,33,14,19,0,99,36,63,0
Wyoming,2020,30,3,27,0,60,9,50,1
Alabama,2021,35,7,26,0,105,28,77,0
Alaska,2021,20,7,13,0,40,15,21,4
Arizona,2021,30,14,16,0,60,28,31,0
Arkansas,2021,35,7,27,1,100,22,78,0
California,2021,40,30,9,0,80,60,19,1
Colorado,2021,35,20,15,0,65,41,24,0
Connecticut,2021,36,23,12,0,151,97,54,0
Delaware,2021,21,14,7,0,41,26,15,0
Florida,2021,40,16,24,0,120,42,78,0
Georgia,2021,56,22,34,0,180,76,103,0
Hawaii,2021,25,24,1,0,51,47,4,0
Idaho,2021,35,7,28,0,70,12,58,0
Illinois,2021,59,41,18,0,118,73,45,0
Indiana,2021,50,11,39,0,100,29,71,0
Iowa,2021,50,18,32,0,100,41,59,0
Kansas,2021,40,11,29,0,125,41,84,0
Kentucky,2021,38,8,30,0,100,25,75,0
Louisiana,2021,39,12,27,0,105,35,67,0
Maine,2021,35,21,13,0,151,80,66,0
Maryland,2021,47,32,15,0,141,99,42,0
Massachusetts,2021,40,37,3,0,160,128,30,0
Michigan,2021,38,16,22,0,110,52,58,0
Minnesota,2021,67,31,34,2,134,70,64,2
Mississippi,2021,52,16,36,0,122,46,75,0
Missouri,2021,34,10,24,0,163,48,114,0
Montana,2021,50,19,31,0,100,33,67,0
Nebraska,2021,49,0,0,0,0,0,0,0
Nevada,2021,21,12,9,0,42,26,16,0
New Hampshire,2021,24,10,14,0,400,187,213,0
New Jersey,2021,40,25,15,0,80,52,28,0
New Mexico,2021,42,27,15,0,70,45,24,1
New York,2021,63,43,20,0,150,106,43,1
North Carolina,2021,50,22,28,0,120,51,69,0
North Dakota,2021,47,7,40,0,94,14,80,0
Ohio,2021,33,8,25,0,99,35,64,0
Oklahoma,2021,48,9,39,0,101,19,82,0
Oregon,2021,30,18,11,1,60,37,23,0
Pennsylvania,2021,50,21,27,1,203,90,112,0
Rhode Island,2021,38,33,5,0,75,65,10,0
South Carolina,2021,46,16,30,0,124,43,81,0
South Dakota,2021,35,3,32,0,70,8,62,0
Tennessee,2021,33,6,27,0,99,26,73,0
Texas,2021,31,12,19,0,150,67,82,0
Utah,2021,29,6,23,0,75,17,58,0
Vermont,2021,30,21,7,2,150,93,46,11
Virginia,2021,40,21,18,0,100,55,45,0
Washington,2021,49,29,20,0,98,57,41,0
West Virginia,2021,34,11,23,0,100,23,77,0
Wisconsin,2021,33,12,20,0,99,38,60,0
Wyoming,2021,30,2,28,0,60,7,51,2
